id	paper	permanent_id	host	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
28752	231	GF05010532S	?	root	53.8689	-1.32606	Europe	2016	2016	grassland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	20347	0	5
28872	335	GF05000004S	Coffea arabica	root	10.3246	-84.8428	North America	2012	2012	cropland	5.8S/ITS4	19.3	2452	5.5	6.5	237239	0	760
29657	82	GF05022882S	Betula pendula Roth.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	219433	0	2
29823	231	GF05010483S	?	root	53.8689	-1.32606	Europe	2016	2016	grassland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	62610	0	110
30419	387	GF04007861S	Andropogon gerardii	root	40.6948	-96.8545	North America	2015	2015	grassland	fITS7/ITS4	11.1	709	6.3	3.3	31134	0	13
30647	231	GF05010522S	?	root	53.8689	-1.32606	Europe	2016	2016	grassland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	35453	0	21
31057	332	GF05000376S	?	root	39.0967	105.394	Asia	2017	2017	desert	ITS3/ITS4	9.5	155	8.4	0	52809	0	110
31098	845	GF01000030S	Abies pinsapo	root	36.6923	-5.0191	Europe	2016	2016	forest	fITS7/ITS4	8.1	918	6.7	4.6	35498	0	1
31110	845	GF01000037S	Abies pinsapo	root	36.6923	-5.0191	Europe	2016	2016	forest	fITS7/ITS4	8.1	918	6.7	4.6	18896	0	4
31345	570	GF03003690S	Zostera marina	root	38.3202	-123.054	Pacific Ocean	2016	2016	aquatic	5.8S_Fun/ITS4_Fun	14.9	1061	NA	NA	55874	0	2
32151	387	GF04007877S	Andropogon gerardii	root	40.6646	-98.9063	North America	2015	2015	grassland	fITS7/ITS4	10.7	618	7	1.8	25746	0	1
32227	231	GF05010492S	?	root	53.8729	-1.3285	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.2	7.6	25515	0	423
34646	335	GF05000022S	Coffea arabica	root	10.3229	-84.842	North America	2011	2011	cropland	5.8S/ITS4	19.3	2452	5.4	6.2	200225	0	1810
34779	231	GF05010496S	?	root	53.8729	-1.3285	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.2	7.6	94011	0	2079
35178	231	GF05010510S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	18329	0	12
35616	170	GF05015586S	Eriophorum vaginatum	root	46.83	6.17	Europe	2019	2019	wetland	fITS7a/ITS4ngs	8.3	1293	5.1	19.7	28003	0	1
35704	569	GF03004033S	Zostera marina	root	43.0212	144.903	Pacific Ocean	2016	2016	aquatic	ITS9/ITS4	7.6	950	NA	NA	2038	0	1
35905	837	GF01000693S	Ilex paraguariensis	root	-25.8345	-53.9319	South America	2013	2013	cropland	ITS1F/ITS4	20.9	2066	5.4	2.5	56303	0	30
35975	231	GF05010518S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	73323	0	82
36111	231	GF05010508S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	22783	0	112
36146	231	GF05010509S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	94618	0	72
